iter	Passed	Remaining
0	3	331
1	5	245
2	6	217
3	8	193
4	9	187
5	11	181
6	12	172
7	14	168
8	16	163
9	17	157
10	18	150
11	19	143
12	20	140
13	22	136
14	23	132
15	24	131
16	26	127
17	27	124
18	28	121
19	30	120
20	31	117
21	32	115
22	34	114
23	35	111
24	36	108
25	37	106
26	39	106
27	40	105
28	42	103
29	43	102
30	44	99
31	45	97
32	46	95
33	48	93
34	49	91
35	50	89
36	51	87
37	53	86
38	54	85
39	56	84
40	57	82
41	57	79
42	58	77
43	59	75
44	60	74
45	61	72
46	62	70
47	63	69
48	64	67
49	66	66
50	67	65
51	68	63
52	69	61
53	70	60
54	71	58
55	72	57
56	73	55
57	74	54
58	75	52
59	77	51
60	78	50
61	79	48
62	81	47
63	82	46
64	83	44
65	84	43
66	85	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	92	34
73	93	32
74	95	31
75	97	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	123	0
